Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,yLabel,Y
-0.00599,0.578376005,0.007,-0.00306375,0.54922917,-1.6644,1.3512,3.0156,-0.135955256,0.002386379,0.0578376,-0.031813,0.824716146,-0.14755,-0.06921375,1.02922092,-1.2336,1.6457,2.8793,0.279179672,-1.125668669,0.082471615,-0.031813,0.824716146,-0.14755,-0.06921375,1.02922092,-1.2336,1.6457,2.8793,0.279179672,-1.125668669,0.082471615,0.081217284,0.081971494,0.061590417,0.064683095,0.043555869,0.01198,0.492126192,0.480146192,3.090410288,11.44050204,0.008197149,0.092259852,0.136562446,0.054763761,0.065778222,0.037979861,0.011651835,0.934855605,0.923203769,4.848659289,26.35478423,0.013656245,0.164853008,0.108084542,0.133035834,0.148532376,0.058064166,0.032198361,0.54116428,0.508965919,1.519584091,2.045264306,0.010808454,normal,1
-0.028768,0.629740425,-0.03545,-0.0256175,0.62684328,-1.5186,1.6316,3.1502,0.005080671,-0.393678291,0.062974042,0.044336,0.719800989,0.07275,0.0396475,0.8695449,-1.3886,1.4585,2.8471,0.059756817,-0.951886267,0.071980099,0.044336,0.719800989,0.07275,0.0396475,0.8695449,-1.3886,1.4585,2.8471,0.059756817,-0.951886267,0.071980099,0.097822931,0.07893271,0.076566743,0.086065305,0.050059452,0.005942019,0.500122402,0.494180383,2.79463947,11.1597609,0.007893271,0.083214127,0.117513505,0.057893772,0.061822727,0.040670406,0.010628,0.835957259,0.825329259,5.280174428,30.75400792,0.01175135,0.180810883,0.095498226,0.164748577,0.174144258,0.101387043,0.002804,0.402221891,0.399417891,0.507110072,-0.538508721,0.009549823,normal,1
0.034925,0.63033815,0.106,0.05395,0.64478274,-1.5894,1.6418,3.2312,-0.205465442,-0.38530773,0.063033815,-0.018324,0.75475623,-0.0674,-0.01672875,0.86843295,-1.6098,1.4981,3.1079,-0.01690382,-0.950515764,0.075475623,-0.018324,0.75475623,-0.0674,-0.01672875,0.86843295,-1.6098,1.4981,3.1079,-0.01690382,-0.950515764,0.075475623,0.085777932,0.092250501,0.057525474,0.066877565,0.040116544,0.001072238,0.534008764,0.532936527,2.941633104,10.08501798,0.00922505,0.089366344,0.121378876,0.070246026,0.069183364,0.037160739,0.011358461,0.874736011,0.86337755,5.42301981,32.1165762,0.012137888,0.140259012,0.113968393,0.114994079,0.123237634,0.088280374,0.014557145,0.615795694,0.601238549,1.947732989,4.886740842,0.011396839,normal,1
0.03588,0.571903409,0.0623,0.04400125,0.66279633,-1.1785,1.3504,2.5289,-0.086732384,-0.92474592,0.057190341,0.054028,0.785571525,0.12225,0.05013,0.93529821,-1.4992,1.593,3.0922,0.038927441,-1.096892738,0.078557153,0.054028,0.785571525,0.12225,0.05013,0.93529821,-1.4992,1.593,3.0922,0.038927441,-1.096892738,0.078557153,0.076875486,0.084648803,0.05707218,0.060746081,0.038769765,0.002739849,0.553523249,0.5507834,3.831612847,17.83973071,0.00846488,0.087549976,0.130615553,0.059950337,0.063185014,0.034390632,0.010287499,0.908496127,0.898208627,5.126184306,28.60658673,0.013061555,0.179172463,0.129114379,0.137120265,0.163508909,0.10195938,0.022061943,0.609008609,0.586946666,1.147645027,1.024157131,0.012911438,normal,1
0.0078,0.610922359,0.0416,-0.02003125,0.64722903,-1.6909,1.3449,3.0358,0.243857067,-0.237714547,0.061092236,0.007429,0.803892854,-0.0148,-0.0021975,0.99178527,-1.6835,1.9333,3.6168,0.081027837,-1.000795256,0.080389285,0.007429,0.803892854,-0.0148,-0.0021975,0.99178527,-1.6835,1.9333,3.6168,0.081027837,-1.000795256,0.080389285,0.084605995,0.087755479,0.057375892,0.066545576,0.035827931,0.001134688,0.457466051,0.456331363,2.723577391,7.93113321,0.008775548,0.08945151,0.133302596,0.048878213,0.063941476,0.038664386,0.007473726,0.905047769,0.897574043,4.669822663,25.22653537,0.01333026,0.190978022,0.117268128,0.149125498,0.181700928,0.110706194,0.01912887,0.430888678,0.411759808,0.62580875,-0.614503417,0.011726813,normal,1
0.030865,0.558111193,-0.0034,0.03524375,0.52461801,-1.4796,1.3174,2.797,-0.050126657,-0.203197872,0.055811119,0.025127,0.751398636,0.07555,0.00669875,0.99371265,-1.7149,1.4384,3.1533,0.093140333,-1.104092958,0.075139864,0.025127,0.751398636,0.07555,0.00669875,0.99371265,-1.7149,1.4384,3.1533,0.093140333,-1.104092958,0.075139864,0.079597097,0.078091742,0.059213736,0.065675252,0.049977586,0.005305567,0.452206986,0.446901419,2.542198592,8.58935354,0.007809174,0.084109406,0.124352947,0.052651343,0.062482123,0.042104734,0.010278925,0.87872891,0.868449985,5.257991219,30.47105109,0.012435295,0.149645279,0.100341639,0.139672425,0.143275963,0.117689804,0.008364645,0.496467731,0.488103086,0.8163586,0.829525404,0.010034164,normal,1
0.01526,0.664587416,0.0682,0.05420375,0.67109889,-1.7727,1.3093,3.082,-0.466644886,-0.486054581,0.066458742,-0.004802,0.728616091,0.06045,-0.0036625,0.86376276,-1.5843,1.4068,2.9911,-0.068815505,-0.917402868,0.072861609,-0.004802,0.728616091,0.06045,-0.0036625,0.86376276,-1.5843,1.4068,2.9911,-0.068815505,-0.917402868,0.072861609,0.095012276,0.09250918,0.066852339,0.076239272,0.046673399,0.011009713,0.524622486,0.513612773,2.708885426,8.568528609,0.009250918,0.091439214,0.113095545,0.0675485,0.074376198,0.039797513,0.004222553,0.827711133,0.823488579,5.502342392,32.97765201,0.011309555,0.18321111,0.105204755,0.188889121,0.17682824,0.098998886,0.010632259,0.475271774,0.464639516,0.565477179,0.356268854,0.010520476,normal,1
-0.062553,0.569214863,-0.0537,-0.05212875,0.58310658,-1.6159,1.2594,2.8753,-0.172322321,-0.20964157,0.056921486,-0.052573,0.866556457,-0.00815,-0.06646,1.11024501,-1.716,1.7754,3.4914,0.1418132,-1.069855474,0.086655646,-0.052573,0.866556457,-0.00815,-0.06646,1.11024501,-1.716,1.7754,3.4914,0.1418132,-1.069855474,0.086655646,0.081925407,0.07961627,0.05862657,0.065698025,0.040170387,0.007115948,0.478265521,0.471149573,2.920484768,10.48691508,0.007961627,0.093321915,0.146121621,0.045541466,0.064379345,0.039101573,0.004538,0.975847336,0.971309336,4.617629712,24.16262538,0.014612162,0.176732591,0.127044314,0.133796925,0.16100077,0.102504946,0.011197425,0.528177611,0.516980186,1.010570172,0.245947196,0.012704431,normal,1
0.052874,0.630493361,0.1062,0.06257,0.60890382,-1.8396,1.3275,3.1671,-0.239845821,-0.112914164,0.063049336,0.030352,0.802458908,-0.13685,0.0167125,0.97199256,-1.7229,1.7171,3.44,0.123896028,-0.977490725,0.080245891,0.030352,0.802458908,-0.13685,0.0167125,0.97199256,-1.7229,1.7171,3.44,0.123896028,-0.977490725,0.080245891,0.092900092,0.08541796,0.067206007,0.079646552,0.041845922,0.003066985,0.512242313,0.509175328,2.604872251,9.362724009,0.008541796,0.092012517,0.131312652,0.062594528,0.070628028,0.046568735,0.006759434,0.9322405,0.925481066,5.264925424,30.63757967,0.013131265,0.159002394,0.104062508,0.144207515,0.146814096,0.082946724,0.030889138,0.596869683,0.565980545,1.628942566,4.345187474,0.010406251,normal,1
0.000364,0.570274429,0.06405,0.02429,0.54789483,-1.5583,1.1573,2.7156,-0.410699317,-0.149133049,0.057027443,-0.003491,0.7549272,-0.0307,-0.0170225,0.852495,-1.6785,1.8928,3.5713,0.188157623,-0.792375397,0.07549272,-0.003491,0.7549272,-0.0307,-0.0170225,0.852495,-1.6785,1.8928,3.5713,0.188157623,-0.792375397,0.07549272,0.078204109,0.082649036,0.049007596,0.062606837,0.04033468,0.000728,0.483082799,0.482354799,2.767127858,9.691748368,0.008264904,0.087152146,0.122983238,0.061432415,0.064347318,0.025992613,0.002398,0.856663972,0.854265972,5.00517094,27.9003399,0.012298324,0.166590335,0.101154782,0.141257504,0.155556207,0.085076279,0.023118337,0.466603699,0.443485362,0.953656487,0.390268857,0.010115478,normal,1
